中文名,英文名,类型,上映时间,演员,导演,行号
金陵十三钗,The Flowers Of War,"剧情,战争,历史",2011-12-15,克里斯蒂安·贝尔、倪妮、张歆怡、黄天元、韩熙庭,张艺谋,1
建党伟业,Beginning of The Great Revival,历史 3DIMAX,2011-06-15,黄建新、陆川、李少红、沈东、刘烨、冯远征、张嘉益、周润发、李晨、刘德华,韩三平,2
龙门飞甲,Flying Swords of Dragon Gate,"动作,古装,武侠 3DIMAX",2011-12-15,张之亮、于柏杨、甘露、顾问、蔡晶胜、李连杰、陈坤、周迅、李宇春、桂纶镁,徐克,3
失恋33天,Love is Not Blind,"剧情,爱情",2011-11-08,文章、白百何、张子萱、王耀庆、郭京飞、张嘉益、李念、廖凡、海清、马伊琍,滕华涛,4
新少林寺,Shaolin,"剧情,动作",2011-01-19,刘德华、谢霆锋、范冰冰、成龙、于海、吴京、释彦能、余少群、熊欣欣、白冰,陈木胜,5
窃听风云2,Overheard 2,"剧情,动作,犯罪",2011-08-18,庄文强、古天乐、刘青云、吴彦祖、黄奕、叶璇、曾江、胡枫、骆应钧、江毅,麦兆辉,6
将爱情进行到底,Eternal Moment,"剧情,爱情",2011-02-12,徐静蕾、李亚鹏、王学兵、程伊、岳小军、宁浩、徐冬冬、何洁、崔达治、冯砾,张一白,7
武林外传,My Own Swordsman,"喜剧,动作,剧情",2011-01-26,闫妮、姚晨、沙溢、喻恩泰、倪虹洁、姜超、肖剑、范明、午马、岳跃利,尚敬,8
武侠,Swordsmen,"武侠,动作",2011-07-04,甄子丹、金城武、汤唯、王羽、惠英红、李小冉、姜武、谷垣健治、喻亢、郑伟,陈可辛,9
白蛇传说,The Sorcerer and the White Snake,"爱情,动作,奇幻",2011-09-28,李连杰、黄圣依、林峯、蔡卓妍、文章、姜武、徐若瑄、杨千嬅、罗家英、林雪,程小东,10
最强囍事,All's Well Ends Well,"喜剧,爱情",2011-01-31,秦小珍、甄子丹、古天乐、黄百鸣、刘嘉玲、张柏芝、闫妮、熊黛林、汪圆圆、谢楠,陈庆嘉,11
让子弹飞,Let The Bullets Fly,"剧情,喜剧,动作,西部",2010-12-16,姜文、周润发、葛优、刘嘉玲、姜武、廖凡、周韵、陈坤、张默、冯小刚,姜文,12
关云长,The Lost Bladesman,"剧情,动作,历史,传记",2011-04-26,庄文强、甄子丹、姜文、孙俪、方中信、李宗翰、赵柯、王学兵、钱小豪、邵兵,麦兆辉,13
画壁,Mural,"古装,奇幻,动作",2011-09-29,邓超、孙俪、闫妮、邹兆龙、曾志伟、安志杰、包贝尔、柳岩、谢楠、莫小奇,陈嘉上,14
倩女幽魂,A Chinese Fairy Tale,"奇幻,惊悚,古装",2011-04-19,古天乐、刘亦菲、余少群、惠英红、樊少皇、王丹怡栗、李菁、徐锦江、林鹏、巩新亮,叶伟信,15
鸿门宴传奇,White Vengeance,"剧情,动作,爱情,历史,古装",2011-11-29,黎明、张涵予、刘亦菲、冯绍峰、黄秋生、陈小春、安志杰、修庆、丁海峰、杜玉明,李仁港,16
喜羊羊与灰太狼之兔年顶呱呱,Moon Castle: The Space Adventure,"动画,儿童,奇幻",2011-01-21,钟智行、钟志恒、祖晴、喜羊羊、灰太狼、克里斯蒂安·贝尔、倪妮、张歆怡、黄天元、韩熙庭邓玉婷、梁颖、谢维彤、高全胜、赵娜,赵崇邦,17
非诚勿扰2,If You Are The One 2,"剧情,喜剧,爱情",2010-12-22,葛优、舒淇、孙红雷、姚晨、廖凡、安以轩、邵兵、李晨、窦文涛、张馨予,冯小刚,18
财神客栈,Treasure Inn,"悬疑,喜剧",2011-06-28,张家辉、谢霆锋、佟大为、黄奕、刘洋、何家劲、那威、郑希怡、潘霜霜、郑皓原,王晶,19
单身男女,單身男女,"爱情,剧情",2011-03-31,古天乐、吴彦祖、高圆圆、林雪、尹子维、贾晓晨、李施嬅、区轩玮、瑞莎、马颖敏,杜琪峰,20
孤岛惊魂,Mysterious Island,"悬疑,惊悚,恐怖",2011-07-08,陈小春、杨幂、叶山豪、蔡淑臻、徐天佑、安雅、李曼筠、黄又南、谭俊彦、徐自贤,钟继昌,21
杨善洲,Yang Shanzhou,"剧情,传记",2011-07-19,李雪健、奚美娟、陶红、李晨、胡明、房子斌、艾丽娅、吕一、黄素影、陶虹,董玲,22
战国,The Warring States,"剧情,动作,爱情,悬疑",2011-04-12,孙红雷、景甜、金喜善、吴镇宇、中井贵一、姜武、郭德纲、冯恩鹤、马精武、雷恪生,金琛,23
东成西就2011,East Meets West,"喜剧,爱情,动作",2011-11-24,陆剑明、陈奕迅、莫文蔚、郑伊健、钟镇涛、黄奕、苏永康、谭维维、邓丽欣、房祖名,刘镇伟,24
亲密敌人,dear enemy,剧情,2011-12-23,黄立行、徐静蕾、李治廷、梁咏琪、钟丽缇、赵宝刚、王敏德、陈奂仁、李艾,徐静蕾,25
观音山,Buddha Mountain,"剧情,爱情",2011-03-04,张艾嘉、范冰冰、陈柏霖、李斯丹妮、方励、刘洁、鲍振江、沈文、唐马儒、袁泽,李玉,26
飞天,Shen Zhou 11,剧情,2011-07-01,沈东、刘之冰、牛莉、姜瑞佳、巫刚、赵晓明、金鑫、李幼斌、马晓伟、于波,王珈,27
我知女人心,What Women Want,"喜剧,爱情",2011-02-03,刘德华、巩俐、袁立、陈志朋、李诚儒、胡静、王盛德、胡凯莉、欧斯瑞克·周、赵密,陈大明,28
最爱,Life Is A Miracle/love for life,剧情,2011-05-10,章子怡、郭富城、濮存昕、蒋雯丽、王宝强、李丹阳、陶泽如、孙海英、李建华、胡泽涛,顾长卫,29
全球热恋,Love In Space,"喜剧,爱情",2011-09-08,夏永康、郭富城、陈奕迅、刘若英、桂纶镁、杨颖、井柏然、徐帆、刘金山、刘家辉,陈国辉,30
